id,salary_in_usd
0,152932.242
1,118072.3611111111
2,100581.16666666666
3,74853.46
4,20650.5
5,83357.57666666666
6,153318.52283322625
7,36342.508
8,88913.5
9,147807.47619047618
10,35611.02214285714
11,136177.40454545454
12,118525.7549206349
13,33115.99
14,76006.49
15,53453.23
16,72205.05
17,148128.5386002886
18,33442.54
19,91929.44444444444
20,134647.3919047619
21,57085.03666666667
22,70291.505
23,162823.09305021903
24,18376.36
25,32406.30214285714
26,88340.05
27,215288.75
28,47699.46333333333
29,77586.5
30,136288.89
31,122207.66666666666
32,65341.97714285715
33,61609.374500000005
34,47899.515
35,58504.24166666666
36,162823.09305021903
37,31638.82416666667
38,64109.64166666667
39,166416.84666666665
40,28966.06214285714
41,19921.39
42,112544.0
43,160498.8694998929
44,84848.33333333334
45,232836.90476190476
46,95377.8874761905
47,59932.07666666667
48,122207.66666666666
49,33254.25
50,123577.2
51,60438.5
52,125736.98940476189
53,157957.89396825395
54,108917.42885714285
55,89378.20499999999
56,158921.8749158504
57,189232.0689594223
58,107519.2679460078
59,142313.56548873975
60,107519.2679460078
61,251392.95238095234
62,142313.56548873975
63,145270.85005411252
64,178641.25314285714
65,230977.2585845649
66,230977.2585845649
67,142313.56548873975
68,102906.32663492065
69,86982.91866666666
70,143776.70466666666
71,172877.5536796537
72,94984.30666666669
73,75735.11794047621
74,88222.35785714285
75,129546.40204761903
76,70062.02066666666
77,81461.41219047619
78,118785.8897857143
79,140426.77523809523
80,32080.988999999998
81,29363.597333333335
82,339977.7655555555
83,301671.6946031746
84,121936.84302135509
85,60178.09721428569
86,60178.09721428569
87,158921.8749158504
88,142313.56548873975
89,53654.115
90,58697.945714285706
91,50693.33566666667
92,81766.68666666668
93,45731.72666666666
94,142313.56548873975
95,296700.4666666667
96,48146.65
97,68752.52666666666
98,60048.861999999994
99,167287.82111760462
100,142313.56548873975
101,107519.2679460078
102,107519.2679460078
103,230977.2585845649
104,158921.8749158504
105,61299.246
106,102906.32663492065
