id,salary_in_usd
0,120000
1,170000
2,135000
3,150000
4,100000
5,150000
6,140000
7,135000
8,135000
9,150000
10,200000
11,140000
12,135000
13,100000
14,150000
15,100000
16,100000
17,20000
18,63831
19,100000
20,150000
21,65438
22,100000
23,100000
24,150000
25,78791
26,135000
27,235000
28,140000
29,32974
30,100000
31,135000
32,100000
33,120000
34,150000
35,140000
36,100000
37,135000
38,150000
39,100000
40,100000
41,100000
42,135000
43,140000
44,140000
45,100000
46,135000
47,150000
48,135000
49,120000
50,140000
51,150000
52,140000
53,135000
54,135000
55,78526
56,140000
57,135000
58,135000
59,140000
60,135000
61,100000
62,140000
63,150000
64,150000
65,150000
66,150000
67,140000
68,135000
69,65438
70,200000
71,140000
72,135000
73,87932
74,127221
75,135000
76,32974
77,78526
78,70000
79,100000
80,100000
81,135000
82,450000
83,100000
84,135000
85,65438
86,65438
87,140000
88,140000
89,100000
90,170000
91,140000
92,100000
93,140000
94,140000
95,100000
96,100000
97,140000
98,135000
99,100000
100,140000
101,135000
102,135000
103,150000
104,140000
105,135000
106,135000
